	logFC	AveExpr	t	P.Value	adj.P.Val	B
IRAK3	-1.8089837719	1.8601601171	-5.7974292169	1.42E-08	2.15E-07	9.0383879598
YDJC	1.5832590219	4.4133119152	5.7972082326	1.43E-08	2.15E-07	9.0391384762
EPB41L2	-1.5770355334	4.0207824087	-5.7961216205	1.43E-08	2.16E-07	8.8170743797
FZD10-AS1	-2.5135118563	0.2500175889	-5.7943469716	1.45E-08	2.18E-07	9.1666509963
PPP1R3B	-1.4637977167	4.1946181008	-5.7925174631	1.46E-08	2.20E-07	8.7820823596
TRAK2	-1.0111511636	4.3488047386	-5.7904794124	1.48E-08	2.22E-07	8.7776198416
MCM4	1.3657386692	6.4626099161	5.7902251524	1.48E-08	2.22E-07	8.7757635072
STC1	-2.0909961926	3.7394143734	-5.7880949129	1.50E-08	2.24E-07	8.7850588654
EEF1A1	-1.0065709627	11.0415927156	-5.7824301264	1.55E-08	2.30E-07	8.9151558499
NUF2	3.3846380251	3.4653814568	5.7807282077	1.56E-08	2.32E-07	9.1887166603
CEP112	-1.6483048515	1.533141445	-5.7805210707	1.56E-08	2.32E-07	9.0294437747
EXO1	2.8816653713	2.6726970569	5.7799648807	1.57E-08	2.33E-07	9.1954814626
ARHGEF9	-1.0608924081	3.554035241	-5.7763133889	1.60E-08	2.37E-07	8.7602653106
PNRC1	-1.20388816	5.4398208037	-5.776197587	1.60E-08	2.37E-07	8.6770238757
PLK1	2.8118096955	4.691969309	5.7740388537	1.62E-08	2.40E-07	9.0452204449
SERTAD1	-1.1827438997	4.2662206065	-5.768222692	1.67E-08	2.46E-07	8.6511487482
CKAP2L	3.2064416491	3.0804021189	5.7659418866	1.69E-08	2.49E-07	9.1204402687
POP7	1.0907916448	4.5923179699	5.7635545821	1.71E-08	2.52E-07	8.7732711921
RAD54B	1.6761003786	1.5318918216	5.7628595729	1.72E-08	2.53E-07	9.0994582272
BLOC1S3	1.1813280543	3.8570847841	5.7589956428	1.76E-08	2.58E-07	8.8630025284
SEMA3D	-3.0779246107	0.0963236382	-5.754230802	1.80E-08	2.64E-07	8.9517803934
MYH3	-1.9678497976	0.7891773592	-5.7499731018	1.84E-08	2.70E-07	8.8759414472
HELLS	1.7911670301	3.7874236589	5.7471893851	1.87E-08	2.74E-07	8.8941661265
SLC26A6	1.8352869541	3.8016707539	5.7465254783	1.88E-08	2.74E-07	8.8869825478
PTRF	-2.5337598427	6.7603507118	-5.7457053918	1.89E-08	2.75E-07	8.5751204628
PSRC1	2.0136483606	2.879097558	5.7400254682	1.95E-08	2.84E-07	8.9356824415
ST3GAL3	-1.0491133485	2.5976545624	-5.7381374108	1.97E-08	2.86E-07	8.6840952701
CDC42BPA	-1.3507127477	4.7113206202	-5.7379390247	1.97E-08	2.86E-07	8.4810985948
FAM110A	1.5465495468	4.7923780127	5.737916505	1.97E-08	2.86E-07	8.684570033
FAM49A	-1.7942100508	2.615502771	-5.736960083	1.98E-08	2.87E-07	8.6332329957
RND1	-1.6667368382	0.9711199937	-5.7368158397	1.98E-08	2.87E-07	8.8071667276
PTGS2	-3.1129710096	4.2639977239	-5.7346731963	2.00E-08	2.89E-07	8.4814685935
AVPR1A	-2.1452602124	0.6349647157	-5.7344162229	2.01E-08	2.89E-07	8.8406361587
DNA2	1.6612403802	2.4201873949	5.7313893691	2.04E-08	2.94E-07	8.9056707461
TMEM132A	2.2391370571	5.4768245051	5.7304775173	2.05E-08	2.95E-07	8.6580723563
KIF4A	2.9705337113	3.9891238039	5.7248175982	2.11E-08	3.04E-07	8.8586190096
FAM64A	3.3120966082	2.617954232	5.7234435997	2.13E-08	3.06E-07	8.9076049104
DLGAP5	3.2735638009	3.6708075489	5.7202955546	2.17E-08	3.11E-07	8.864665203
FMOD	-2.2628554565	3.7888201401	-5.7189380755	2.18E-08	3.13E-07	8.4352257475
RARB	-1.954765577	1.4855235309	-5.7184624771	2.19E-08	3.13E-07	8.6712627257
STIL	2.3205435488	3.1474423549	5.7125227789	2.26E-08	3.23E-07	8.8040474467
KIF22	1.2346265551	5.7761663214	5.7100175234	2.29E-08	3.27E-07	8.3896625844
NT5DC3	-1.3623374692	2.6342088362	-5.7069017045	2.33E-08	3.32E-07	8.4850060658
ADCY4	-1.3279286668	2.0257423727	-5.7034429628	2.37E-08	3.37E-07	8.5589199775
CPQ	-1.6443247914	3.6547304498	-5.7029816583	2.38E-08	3.38E-07	8.3350054299
FAM102B	-1.3190047877	3.9101379615	-5.6987022958	2.43E-08	3.45E-07	8.3069819905
GAS6	-2.3379847143	5.3404231851	-5.6961450693	2.47E-08	3.50E-07	8.2680497696
FABP4	-3.7173499694	2.2446891248	-5.6940682212	2.50E-08	3.53E-07	8.3114829171
OCIAD2	1.3979495033	5.5398353877	5.6932795517	2.51E-08	3.54E-07	8.3213714443
HACD1	-2.1097249723	0.7035357948	-5.6908681999	2.54E-08	3.59E-07	8.5828954162
EEPD1	-1.4439880523	2.3008292739	-5.6898926866	2.55E-08	3.60E-07	8.4421557615
ARL6IP1	1.0167931413	7.4539639707	5.6877618532	2.58E-08	3.64E-07	8.214730171
IGFBP5	-3.4951485049	6.3312265513	-5.6873257749	2.59E-08	3.64E-07	8.2823903655
CLEC1A	-1.5828918507	0.1412935366	-5.686306138	2.60E-08	3.66E-07	8.6562944942
IL11RA	-1.1861056595	2.2733747025	-5.6854869848	2.61E-08	3.67E-07	8.4369147635
MYZAP	-1.9328223049	1.8666520272	-5.678903465	2.71E-08	3.80E-07	8.331834512
NKD1	-2.1724890065	0.5016945968	-5.677779349	2.73E-08	3.82E-07	8.5497771976
MARCKSL1	1.6955419922	7.1218259928	5.6772601112	2.73E-08	3.82E-07	8.1643848454
CEP55	2.8587475912	4.1186362924	5.6768682395	2.74E-08	3.83E-07	8.595408522
SLC37A4	1.2687414261	4.3370071052	5.6713966999	2.82E-08	3.94E-07	8.3540282269
RP11-690D19.3	-1.3133480531	0.2948732808	-5.6704269292	2.84E-08	3.96E-07	8.5430873718
PTCH1	-1.2023713909	2.6942392379	-5.6687503783	2.86E-08	3.99E-07	8.2771768478
LRRC45	1.4411551048	4.7185100792	5.6681149994	2.87E-08	4.00E-07	8.3187089662
SNRPB	1.0265619846	7.4514749939	5.6674637957	2.88E-08	4.01E-07	8.1076260125
PPM1L	-1.7101718697	3.546388401	-5.6613441681	2.98E-08	4.14E-07	8.1057169207
PWAR6	-2.1256458697	0.106737433	-5.6609549019	2.98E-08	4.14E-07	8.4629363542
C4B	-2.5231587754	0.6393774275	-5.6606820096	2.99E-08	4.14E-07	8.4238345227
GPX3	-2.725409819	4.8475439417	-5.6571799104	3.04E-08	4.22E-07	8.0687995004
KIAA1614	-1.3171678033	0.9508796433	-5.6540648753	3.10E-08	4.28E-07	8.4253100711
KCTD12	-1.8904302111	4.8555809561	-5.653363091	3.11E-08	4.30E-07	8.0381727472
KNTC1	1.627014046	4.3426138222	5.6505203723	3.16E-08	4.36E-07	8.3050607512
PRR19	1.8835021037	0.7847245749	5.6498660342	3.17E-08	4.37E-07	8.5345794366
ZFP36L1	-1.3137787076	7.9084824321	-5.6480716035	3.20E-08	4.40E-07	8.0887509931
ERCC6L	2.6179968494	1.9535815832	5.645635879	3.24E-08	4.46E-07	8.5121495385
TMEM150C	-1.6253902375	1.2418865392	-5.6450810247	3.25E-08	4.46E-07	8.3349025473
FBN1	-2.5391256202	4.5483604087	-5.643584902	3.27E-08	4.50E-07	8.0060970309
PNMA1	-1.5458195852	4.0132415438	-5.6296174744	3.53E-08	4.83E-07	7.9498044249
PCNA	1.2763091109	6.567302909	5.6290851496	3.54E-08	4.84E-07	7.9228910711
COL6A2	-2.9113120958	7.8219603199	-5.6286885767	3.55E-08	4.85E-07	8.0106666475
ARHGAP10	-1.2671850721	4.1438252375	-5.6263599173	3.59E-08	4.90E-07	7.9169680857
CNTNAP1	-1.3982705787	2.2747180786	-5.6259922224	3.60E-08	4.91E-07	8.119135346
IFFO1	-1.6103537252	1.9203981505	-5.6220811268	3.67E-08	5.00E-07	8.1436224605
LILRB5	-2.3849503789	0.4025838534	-5.6183926523	3.75E-08	5.09E-07	8.2478737814
C17orf53	1.950490529	2.5178436241	5.6141806669	3.83E-08	5.20E-07	8.3204713572
PDXK	1.0844918469	6.9432433456	5.6110451029	3.90E-08	5.28E-07	7.8130382196
SYTL3	-1.3966606937	1.6890500919	-5.6088138818	3.94E-08	5.33E-07	8.1029030292
ASPM	3.3401867153	3.8542672034	5.6008632309	4.11E-08	5.56E-07	8.2527608901
TMUB1	1.0769050996	5.3638027348	5.599999743	4.13E-08	5.58E-07	7.833769388
SOX4	1.6937196656	6.8883228579	5.5985373596	4.17E-08	5.61E-07	7.7622763421
CLSTN2	-2.688711738	0.0795529449	-5.5958031816	4.23E-08	5.69E-07	8.1710371615
NES	-1.8948744869	4.3551116679	-5.591892707	4.32E-08	5.81E-07	7.7317665829
ITGA1	-1.6305660993	4.4256672286	-5.5914851766	4.32E-08	5.81E-07	7.7280220158
CDCA5	2.8501989658	4.3942731136	5.5913321518	4.33E-08	5.81E-07	8.1345113805
MCM7	1.0601333134	6.8480614713	5.5903290583	4.35E-08	5.84E-07	7.707337227
GARNL3	-1.4302180859	1.4182163473	-5.5899422452	4.36E-08	5.84E-07	7.9887929553
ACSS3	-2.360254181	0.5968442605	-5.5887024781	4.39E-08	5.88E-07	8.0737060935
BORA	1.6280927728	2.1834792284	5.5826538565	4.53E-08	6.06E-07	8.1538689447
RP11-199F11.2	1.7239603603	-0.0509939212	5.5778603809	4.65E-08	6.20E-07	8.1718677526
MIDN	-1.0887199827	6.4088976758	-5.5776771208	4.65E-08	6.20E-07	7.6613439573
PRC1	2.0745999928	4.9187852613	5.5774642052	4.66E-08	6.20E-07	7.917937783
RRAD	-2.6883803489	1.7896838525	-5.5753564637	4.71E-08	6.27E-07	7.8514498708
MPEG1	-2.1615252714	2.7979910092	-5.5707354823	4.83E-08	6.42E-07	7.7326009772
RAB30	-1.2097930908	2.3663146748	-5.5623352306	5.05E-08	6.70E-07	7.769657761
PLXDC2	-2.0332387265	4.0899810681	-5.5610061162	5.08E-08	6.74E-07	7.5895899369
PPP1R1B	-3.1493759548	1.0465288286	-5.5580955635	5.16E-08	6.84E-07	7.7308370031
UBALD2	1.2782446768	6.1931734393	5.5560086474	5.22E-08	6.90E-07	7.5567670215
TMEM206	1.3852670889	3.2220090642	5.5538241655	5.28E-08	6.97E-07	7.9219292823
KIF23	2.4895108583	4.1244416435	5.548645865	5.43E-08	7.15E-07	7.9050935232
CTTNBP2	-2.8168458391	0.0104549287	-5.5486175475	5.43E-08	7.15E-07	7.8848625189
NRP2	-2.2582162887	4.0466431708	-5.5449881387	5.53E-08	7.28E-07	7.5145077729
TSHZ1	-1.0811607914	3.5568861103	-5.5436799486	5.57E-08	7.31E-07	7.5429256057
FASTKD3	1.0423390652	2.6029202982	5.5392410289	5.70E-08	7.47E-07	7.8518416209
RGL1	-1.3900313634	3.1703093169	-5.5322141409	5.92E-08	7.72E-07	7.5126943974
NAALADL1	-1.7430406697	0.4473614851	-5.5311547991	5.95E-08	7.75E-07	7.8365652216
RASSF8	-1.6690925198	2.8407200606	-5.5301791385	5.98E-08	7.79E-07	7.5460233009
FOXM1	2.9390172352	4.829405173	5.5283237723	6.04E-08	7.86E-07	7.7780339024
VASN	-1.7872480657	3.4679876534	-5.5273347812	6.07E-08	7.89E-07	7.4630927467
KIF14	3.0713548161	2.702566936	5.5264866747	6.10E-08	7.92E-07	7.9106837558
EZH2	2.0736941607	4.091952665	5.5260007638	6.12E-08	7.93E-07	7.7590443899
ISLR	-3.1734609183	4.1474663714	-5.5247369355	6.16E-08	7.98E-07	7.4212945032
PABPC1L	2.5855042347	4.4786758236	5.5229283604	6.22E-08	8.04E-07	7.7274199212
CDC25A	2.2640327868	2.9753552903	5.5201550205	6.31E-08	8.14E-07	7.8327400192
ALKBH6	1.4241365672	1.6530066255	5.5162383013	6.44E-08	8.30E-07	7.8383441178
TEPSIN	1.1261507488	3.6673407323	5.5150774595	6.48E-08	8.35E-07	7.6210179755
TGFBR3	-2.1545390955	4.1525693919	-5.5139762807	6.52E-08	8.39E-07	7.3231403687
AHNAK	-1.8028894251	8.6461252028	-5.5131401254	6.55E-08	8.42E-07	7.4414307139
MTBP	1.669793442	2.1619554309	5.5122757649	6.58E-08	8.44E-07	7.800493542
MAPT	-2.0739894711	0.3327409256	-5.5121076029	6.58E-08	8.44E-07	7.6917097647
ARHGEF39	1.8970364814	2.6116162925	5.5069176886	6.76E-08	8.66E-07	7.7592491945
S100B	-2.2514784976	0.2984775446	-5.5045624377	6.85E-08	8.75E-07	7.6610412769
PDLIM2	-1.4001233165	3.0494341372	-5.4992746457	7.04E-08	8.99E-07	7.3886246528
JUNB	-1.5566756639	7.7847955119	-5.4973022545	7.11E-08	9.07E-07	7.329139813
RP5-1074L1.4	1.872716044	1.7045445952	5.4934207345	7.26E-08	9.25E-07	7.7368323918
LPAR2	1.7178398167	4.5276914094	5.491555971	7.33E-08	9.33E-07	7.4782908295
CPE	-1.8862998478	3.4449653278	-5.490703092	7.36E-08	9.35E-07	7.2605580941
EFNA4	1.5808996164	3.5657672918	5.4905912709	7.37E-08	9.35E-07	7.5776030861
ZDBF2	-2.231209884	0.6407839928	-5.4904048842	7.38E-08	9.35E-07	7.5554936534
BAG3	-1.2119525805	5.6570047151	-5.4872520864	7.50E-08	9.49E-07	7.1811087019
PNKP	1.0352203261	5.0294805381	5.4863276117	7.54E-08	9.53E-07	7.280838971
BRIP1	2.4282122517	2.6419301624	5.4848322639	7.59E-08	9.59E-07	7.6827234142
SIRT7	1.094224116	4.896770412	5.4840659969	7.62E-08	9.62E-07	7.2913235735
WIPF1	-1.7517601071	4.1847658118	-5.4822170865	7.70E-08	9.69E-07	7.1868199701
MCAM	-1.6439588422	5.676775663	-5.4781986075	7.86E-08	9.87E-07	7.1414385125
CLIC4	-2.0575765683	5.9517164448	-5.4776741773	7.88E-08	9.89E-07	7.1495763038
RNF139-AS1	1.4562792436	0.5197676847	5.4770399318	7.91E-08	9.92E-07	7.6728573608
SLC19A1	1.7988497202	4.1866388858	5.4761746647	7.95E-08	9.95E-07	7.4489824464
EEF1A1P9	-1.0922767133	0.6416394949	-5.4720719346	8.12E-08	1.02E-06	7.5386624817
TWIST1	-2.5172502702	1.2699016835	-5.4717986721	8.13E-08	1.02E-06	7.4511730718
DUSP5	-2.208388892	5.1821064165	-5.4708231506	8.17E-08	1.02E-06	7.1092613221
RP4-639F20.1	-1.6564978444	0.661269597	-5.4707374885	8.18E-08	1.02E-06	7.5252251959
ACVRL1	-1.36695082	3.3639488807	-5.4703750928	8.19E-08	1.02E-06	7.1934616094
SERPINE2	-2.5884236393	3.1843230894	-5.4703690621	8.19E-08	1.02E-06	7.1646792985
PYGO1	-2.1315162621	0.9171473464	-5.4701046487	8.20E-08	1.02E-06	7.4589905357
SIK1	-3.3388676189	0.0131399996	-5.4648688564	8.43E-08	1.05E-06	7.4427585126
RP11-486O12.2	1.4910801549	0.7810514879	5.4615685564	8.58E-08	1.06E-06	7.5957250733
TIMP2	-2.431748047	6.4929981805	-5.4606926403	8.62E-08	1.07E-06	7.083102683
IQGAP2	-1.77171289	1.4699263886	-5.4602516108	8.64E-08	1.07E-06	7.3616546703
SKP2	1.6278326676	4.6792739075	5.4579952738	8.74E-08	1.08E-06	7.2603577436
LIN9	1.2922625063	2.3781946717	5.4573991579	8.77E-08	1.08E-06	7.4941203495
MCM2	1.7822254588	5.590205639	5.4562146013	8.82E-08	1.09E-06	7.1775050425
CLIC2	-1.5195503184	2.0265886001	-5.4535105858	8.95E-08	1.10E-06	7.2670655487
PTTG1	2.3798378007	4.4811100487	5.4489889877	9.16E-08	1.12E-06	7.3489726755
FOXO1	-1.1244757087	4.0410937139	-5.4433248423	9.43E-08	1.16E-06	6.9985779872
FAM50B	-2.0741272937	0.8648041962	-5.4413228428	9.53E-08	1.17E-06	7.2860094592
FAAP24	1.3027548326	2.146547713	5.4372845182	9.73E-08	1.19E-06	7.4182649085
COL16A1	-2.4052621273	4.9473282637	-5.4344119737	9.88E-08	1.21E-06	6.9253050263
RPS6KA5	-1.2386294938	2.7801705306	-5.4335164455	9.93E-08	1.21E-06	7.04519048
ST14	1.8562548486	7.4272862261	5.4301540793	1.01E-07	1.23E-06	6.8985159512
ATXN1	-1.5122553057	3.757672664	-5.4292738149	1.01E-07	1.23E-06	6.9340372617
CD93	-1.6576126971	4.7008391129	-5.4161684559	1.09E-07	1.32E-06	6.8288222336
GNG2	-1.704210135	2.0596975413	-5.4153460024	1.09E-07	1.32E-06	7.0748415512
TRMT2A	1.0529102424	4.890099327	5.4150084485	1.09E-07	1.32E-06	6.9316779198
WNT5B	-2.382904449	2.1582537282	-5.4142408401	1.10E-07	1.33E-06	6.9858370929
TOX2	-1.8894644566	1.3191835104	-5.4131021202	1.10E-07	1.33E-06	7.125274015
C1orf35	1.0718285795	4.2615993658	5.4121733645	1.11E-07	1.34E-06	7.0130000617
ANKRD35	-1.8104064344	1.5538910819	-5.4107673988	1.12E-07	1.35E-06	7.0666581356
PBK	2.9710036525	2.8237242146	5.4107193291	1.12E-07	1.35E-06	7.3333694147
POLE	1.0374710658	5.2520080902	5.4086741595	1.13E-07	1.36E-06	6.8679478882
SGMS2	-1.6651423055	3.2160856397	-5.4068751722	1.14E-07	1.37E-06	6.8815425682
DDIAS	2.048583221	2.5926035949	5.3990180273	1.19E-07	1.43E-06	7.2411350635
RP5-1092A3.4	2.2314165409	0.1058197087	5.3962424688	1.20E-07	1.45E-06	7.2811027848
ATP2B4	-1.761525491	6.0003577334	-5.3943234706	1.22E-07	1.46E-06	6.7326249613
CKB	-2.4247795381	4.9521339193	-5.3929692844	1.22E-07	1.47E-06	6.7251381239
CHRM3	-2.9556943968	0.0453634603	-5.3915546894	1.23E-07	1.48E-06	7.0917614621
LRP1	-1.6091625924	7.0670101937	-5.3907045201	1.24E-07	1.48E-06	6.7378461991
RFC5	1.0923330674	4.0064919623	5.388549521	1.25E-07	1.50E-06	6.9391407131
ERG	-1.3410250524	2.1606549437	-5.3841986467	1.28E-07	1.53E-06	6.9044468385
PPP1R15A	-1.3595343255	6.396536618	-5.3840348	1.28E-07	1.53E-06	6.6870655214
CKS2	1.799667115	4.611181517	5.3824324061	1.29E-07	1.54E-06	6.9380813766
POLE2	1.7338641467	2.0209189946	5.3702783826	1.38E-07	1.64E-06	7.1179166804
C21orf58	2.252325346	2.6744023274	5.3702169495	1.38E-07	1.64E-06	7.1107222252
FYN	-1.5422973993	3.923046887	-5.3698282673	1.38E-07	1.64E-06	6.629340467
SMIM3	-1.5031375359	3.3413578313	-5.3695222506	1.38E-07	1.64E-06	6.7133719487
ARHGAP31	-1.4242548671	3.1300205848	-5.3673612665	1.40E-07	1.66E-06	6.7222238891
HUNK	-2.4305403285	0.2928237848	-5.3667324686	1.40E-07	1.66E-06	6.9746016066
KATNAL1	-1.7638640899	1.9537534903	-5.3663535642	1.41E-07	1.66E-06	6.8487760743
PAM	-1.5131664176	5.426620734	-5.3655828515	1.41E-07	1.67E-06	6.5703511892
CLDN11	-2.1760694844	1.1526001763	-5.3625254905	1.43E-07	1.69E-06	6.8794884563
AUNIP	2.1152758064	1.9018786391	5.3624741534	1.43E-07	1.69E-06	7.1020707902
GINS2	2.1307951248	3.6223533956	5.3582237006	1.47E-07	1.72E-06	6.9752336512
AREG	-2.8582308944	2.6647810312	-5.3544856597	1.49E-07	1.75E-06	6.5991494572
FOLR2	-2.2252351225	1.8995849967	-5.3472800692	1.55E-07	1.82E-06	6.7245517822
CENPI	2.2352480156	1.9252307501	5.3468228113	1.55E-07	1.82E-06	7.0289501241
ROCK1	-1.0170293266	4.9294879073	-5.3451731042	1.57E-07	1.83E-06	6.4714318804
FAM102A	-1.1116305252	5.9661293614	-5.3449924149	1.57E-07	1.83E-06	6.4710999566
RFX2	-1.054406547	3.0882262965	-5.3447482295	1.57E-07	1.83E-06	6.5813492125
TNIK	-1.7901129129	2.0498911364	-5.3442098603	1.57E-07	1.84E-06	6.6671565169
ALDH1A1	-2.6865206559	2.7952436745	-5.3409350007	1.60E-07	1.87E-06	6.5323834047
MAP6	-1.9711169185	0.2571634544	-5.3357258455	1.64E-07	1.91E-06	6.8487952791
RCBTB2	-1.0701354328	2.7621972643	-5.3273307128	1.72E-07	1.99E-06	6.5402947303
STX2	-1.5995008179	2.0424596694	-5.3258730544	1.73E-07	2.01E-06	6.6428511563
LSR	1.8205438995	7.3856555918	5.3225782033	1.76E-07	2.04E-06	6.3617611233
FIBIN	-2.8618470096	0.5723264264	-5.3203620748	1.78E-07	2.06E-06	6.779543572
CIT	1.9674877551	4.0124043255	5.3179237791	1.80E-07	2.08E-06	6.7113521477
KPNA2	1.3897455682	6.5607062882	5.3172237107	1.81E-07	2.09E-06	6.3550535948
RBPMS	-1.6255079735	5.3361365032	-5.3163776543	1.82E-07	2.10E-06	6.3307763519
ERC1	-1.1038714513	4.8286193603	-5.3157678534	1.82E-07	2.10E-06	6.3276719991
TRIB1	-1.4380338748	5.9177512832	-5.3141620068	1.84E-07	2.12E-06	6.3312862889
COPZ2	-1.8480989754	2.4912585242	-5.3121145886	1.86E-07	2.14E-06	6.5215300452
MELK	3.2736597786	3.8210666593	5.3106588489	1.87E-07	2.15E-06	6.8187351017
SERPINF1	-2.4042640786	5.1663822965	-5.3097660393	1.88E-07	2.16E-06	6.3042913924
CLCN2	1.3194396109	2.7563144947	5.3084833458	1.89E-07	2.17E-06	6.7336130737
JADE1	-1.1588698348	3.8509931542	-5.3067744796	1.91E-07	2.19E-06	6.3389145774
EIF4E3	-1.1875508547	3.7485268905	-5.3013532565	1.96E-07	2.25E-06	6.3047923158
PBXIP1	-1.1172700223	6.6392770752	-5.2981910997	1.99E-07	2.28E-06	6.2629175897
FEN1	1.6340413046	5.0802709632	5.2973766357	2.00E-07	2.28E-06	6.4211029373
RP6-65G23.3	2.2421460717	0.7774115038	5.2929380821	2.05E-07	2.33E-06	6.7846615581
ESPL1	2.553369737	3.8648659975	5.2923610723	2.05E-07	2.34E-06	6.6632977608
FANCB	1.7474567451	0.3740525494	5.2908927742	2.07E-07	2.35E-06	6.7757155271
RND3	-1.7313289418	5.3411632836	-5.290110959	2.08E-07	2.36E-06	6.2021812796
BID	1.1102609109	5.1887563902	5.285194709	2.13E-07	2.42E-06	6.2700443544
MTG1	1.3383046868	2.6354694077	5.2842310301	2.14E-07	2.43E-06	6.6149623617
LONRF1	-1.0617798773	3.3767275841	-5.2827524553	2.16E-07	2.44E-06	6.2518139237
EMP3	-2.0499506157	3.6065408978	-5.2766055901	2.22E-07	2.52E-06	6.193242319
DDX12P	1.8054159377	1.2925165876	5.2722141138	2.27E-07	2.57E-06	6.6691642121
BCL2L12	1.3395631054	4.15190886	5.2718784651	2.28E-07	2.57E-06	6.3919568387
KANK1	-1.4841035645	4.9894308886	-5.2699978523	2.30E-07	2.59E-06	6.0981070334
ARHGAP11A	2.0075962421	3.8191985879	5.2692821402	2.31E-07	2.60E-06	6.5036772998
LDLRAD4	-1.6034597418	2.4189110882	-5.2688756145	2.31E-07	2.60E-06	6.2723834907
ZNF516	-1.5007215275	3.1384295669	-5.2654024017	2.35E-07	2.65E-06	6.1682703234
CEP126	-1.4778062722	1.0100505888	-5.2639524257	2.37E-07	2.66E-06	6.4522158917
DTYMK	1.2146845259	4.5708157194	5.2630616997	2.38E-07	2.67E-06	6.2680898324
TCEAL3	-1.1569573113	3.8922985081	-5.2629827116	2.38E-07	2.67E-06	6.115443675
WEE1	-1.1721428872	5.0918393278	-5.2602523274	2.42E-07	2.70E-06	6.0484430146
DEPDC1	3.0407882066	2.9835969216	5.259002841	2.43E-07	2.72E-06	6.5950930341
NRN1	-1.9444663893	1.1346318934	-5.2588340175	2.43E-07	2.72E-06	6.3609058651
MCM10	2.9150391807	2.9493570611	5.2567762252	2.46E-07	2.74E-06	6.5865850463
POC1A	1.8262853478	3.4606318266	5.2562017308	2.47E-07	2.75E-06	6.4670181325
STXBP1	-1.6153401656	2.7628349904	-5.2495304373	2.55E-07	2.83E-06	6.1627606101
PFDN6	1.1007212825	5.0370552785	5.245226636	2.61E-07	2.89E-06	6.0878592435
AAED1	-1.3933408198	2.4736496645	-5.243351839	2.63E-07	2.91E-06	6.1970450474
ORC1	2.3360432082	2.4979929575	5.2430192034	2.64E-07	2.92E-06	6.5151786461
NCAPD2	1.1248721985	6.1754057257	5.2374084533	2.71E-07	3.00E-06	5.9610010974
MRPS26	1.0251963067	5.5227144961	5.2371147132	2.72E-07	3.00E-06	5.9898298164
MRPL53	1.0698701045	1.3850454516	5.236045758	2.73E-07	3.01E-06	6.4628064908
CTB-92J24.2	2.5943914768	-0.2059388465	5.2338013166	2.76E-07	3.04E-06	6.5061212522
CLIP4	-1.6733736339	3.4619508695	-5.2333820173	2.77E-07	3.05E-06	5.9869989305
TSTA3	1.0508796071	6.2198046343	5.2324311398	2.78E-07	3.06E-06	5.9303536862
SGK1	-2.2088678458	5.3964688387	-5.2316786659	2.79E-07	3.07E-06	5.9280585131
EVC	-1.9630258902	2.2523932064	-5.2292660669	2.83E-07	3.10E-06	6.1178280217
MPV17L	-2.1986851325	0.3230990298	-5.223686737	2.91E-07	3.18E-06	6.2392024319
FBXO32	-1.7523337797	4.8968013422	-5.2235551007	2.91E-07	3.18E-06	5.8759174447
HBA2	-2.0373403146	0.913892315	-5.2191564463	2.97E-07	3.25E-06	6.1716314014
C4A	-2.290070932	0.5583379473	-5.2109693107	3.10E-07	3.37E-06	6.2107726608
PIP4K2A	-1.0946818686	4.0349719123	-5.2089840002	3.13E-07	3.40E-06	5.8558308295
OXLD1	1.257670713	4.2712970304	5.2059569862	3.18E-07	3.45E-06	6.0370939189
ZNF696	1.0687162182	2.251548903	5.2043205867	3.20E-07	3.48E-06	6.235340742
PLA2G4A	-1.6353987372	2.7232790855	-5.2021913876	3.24E-07	3.51E-06	5.8826430861
AXL	-2.0891665706	4.1862688185	-5.2017421545	3.25E-07	3.51E-06	5.7886789021
PLEKHH2	-1.6381472785	1.1939595876	-5.1939151321	3.38E-07	3.65E-06	6.0893522718
TRIL	-1.7581291293	0.6334197105	-5.1925202777	3.40E-07	3.67E-06	6.1628841179
LIF	-1.9599325564	2.9489220578	-5.1893229717	3.45E-07	3.72E-06	5.806430708
UBL3	-1.1311162547	4.7966139171	-5.1893129322	3.45E-07	3.72E-06	5.7107657258
RASSF7	2.0518419853	5.2205057117	5.1873016508	3.49E-07	3.75E-06	5.9299739481
BOP1	1.1846959867	5.8933026423	5.1852391211	3.53E-07	3.79E-06	5.7242937148
NDC80	2.4305490274	3.6756285674	5.1850465622	3.53E-07	3.79E-06	6.1552093084
TMCO6	1.00706968	3.228440656	5.1848959196	3.53E-07	3.79E-06	6.03346264
PCDHB15	-1.6823104262	0.4065700528	-5.1813770316	3.59E-07	3.85E-06	6.1122798704
FREM1	-2.3482508826	-0.0653131205	-5.1807738207	3.60E-07	3.86E-06	6.0748578215
SHF	-1.4816748645	1.6093573071	-5.1783746269	3.65E-07	3.91E-06	5.9767058876
GLIPR1	-1.6463700275	3.0681886278	-5.1777529993	3.66E-07	3.92E-06	5.787785111
CX3CL1	-2.1464739139	3.6906826674	-5.1752461939	3.71E-07	3.96E-06	5.6605793558
CHAF1A	1.1175089647	4.7974984704	5.1732679117	3.74E-07	4.00E-06	5.7802255232
JUND	-1.3518390237	6.7027362161	-5.1714247296	3.78E-07	4.03E-06	5.6569437331
PAPPA	-2.1617379351	0.3155249412	-5.1708157427	3.79E-07	4.04E-06	6.0689867253
FAM229B	-1.2728980727	1.4555443501	-5.169886009	3.81E-07	4.06E-06	5.9742531449
